year,month,county,party,registered,source_url
2024,2,HARFORD,Working Class,1244,local://MSR-2024_02.pdf
2024,2,HOWARD,Working Class,964,local://MSR-2024_02.pdf
2024,2,KENT,Working Class,69,local://MSR-2024_02.pdf
2024,2,MONTGOMERY,Working Class,2331,local://MSR-2024_02.pdf
2024,2,PR. GEORGE'S,Working Class,1511,local://MSR-2024_02.pdf
2024,2,QUEEN ANNE'S,Working Class,232,local://MSR-2024_02.pdf
2024,2,ST. MARY'S,Working Class,483,local://MSR-2024_02.pdf
2024,2,SOMERSET,Working Class,65,local://MSR-2024_02.pdf
2024,2,TALBOT,Working Class,155,local://MSR-2024_02.pdf
2024,2,WASHINGTON,Working Class,646,local://MSR-2024_02.pdf
2024,2,WICOMICO,Working Class,357,local://MSR-2024_02.pdf
2024,2,WORCESTER,Working Class,230,local://MSR-2024_02.pdf
2024,2,ALLEGANY,Unaffiliated,8940,local://MSR-2024_02.pdf
2024,2,ANNE ARUNDEL,Unaffiliated,104664,local://MSR-2024_02.pdf
2024,2,BALTIMORE CITY,Unaffiliated,61422,local://MSR-2024_02.pdf
2024,2,BALTIMORE CO.,Unaffiliated,116837,local://MSR-2024_02.pdf
2024,2,CALVERT,Unaffiliated,16321,local://MSR-2024_02.pdf
2024,2,CAROLINE,Unaffiliated,4852,local://MSR-2024_02.pdf
2024,2,CARROLL,Unaffiliated,30203,local://MSR-2024_02.pdf
2024,2,CECIL,Unaffiliated,17611,local://MSR-2024_02.pdf
2024,2,CHARLES,Unaffiliated,24136,local://MSR-2024_02.pdf
2024,2,DORCHESTER,Unaffiliated,4177,local://MSR-2024_02.pdf
2024,2,FREDERICK,Unaffiliated,52608,local://MSR-2024_02.pdf
2024,2,GARRETT,Unaffiliated,3069,local://MSR-2024_02.pdf
2024,2,HARFORD,Unaffiliated,44372,local://MSR-2024_02.pdf
2024,2,HOWARD,Unaffiliated,61380,local://MSR-2024_02.pdf
2024,2,KENT,Unaffiliated,2761,local://MSR-2024_02.pdf
2024,2,MONTGOMERY,Unaffiliated,169295,local://MSR-2024_02.pdf
2024,2,PR. GEORGE'S,Unaffiliated,95630,local://MSR-2024_02.pdf
2024,2,QUEEN ANNE'S,Unaffiliated,8777,local://MSR-2024_02.pdf
2024,2,ST. MARY'S,Unaffiliated,17789,local://MSR-2024_02.pdf
2024,2,SOMERSET,Unaffiliated,2493,local://MSR-2024_02.pdf
2024,2,TALBOT,Unaffiliated,6012,local://MSR-2024_02.pdf
2024,2,WASHINGTON,Unaffiliated,23632,local://MSR-2024_02.pdf
2024,2,WICOMICO,Unaffiliated,14667,local://MSR-2024_02.pdf
2024,2,WORCESTER,Unaffiliated,9011,local://MSR-2024_02.pdf
2024,2,ALLEGANY,Other,570,local://MSR-2024_02.pdf
2024,2,ANNE ARUNDEL,Other,4312,local://MSR-2024_02.pdf
2024,2,BALTIMORE CITY,Other,5844,local://MSR-2024_02.pdf
2024,2,BALTIMORE CO.,Other,7849,local://MSR-2024_02.pdf
2024,2,CALVERT,Other,734,local://MSR-2024_02.pdf
2024,2,CAROLINE,Other,261,local://MSR-2024_02.pdf
2024,2,CARROLL,Other,1345,local://MSR-2024_02.pdf
2024,2,CECIL,Other,929,local://MSR-2024_02.pdf
2024,2,CHARLES,Other,1209,local://MSR-2024_02.pdf
2024,2,DORCHESTER,Other,259,local://MSR-2024_02.pdf
2024,2,FREDERICK,Other,1729,local://MSR-2024_02.pdf
2024,2,GARRETT,Other,207,local://MSR-2024_02.pdf
2024,2,HARFORD,Other,2231,local://MSR-2024_02.pdf
2024,2,HOWARD,Other,2504,local://MSR-2024_02.pdf
2024,2,KENT,Other,144,local://MSR-2024_02.pdf
2024,2,MONTGOMERY,Other,7198,local://MSR-2024_02.pdf
