year,month,county,party,registered,source_url
2025,2,QUEEN ANNE'S,Working Class,22,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ST. MARY'S,Working Class,54,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,SOMERSET,Working Class,11,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,TALBOT,Working Class,8,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,WASHINGTON,Working Class,92,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,WICOMICO,Working Class,61,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,WORCESTER,Working Class,22,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,TOTAL,Working Class,2645,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ALLEGANY,Unaffiliated,9017,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ANNE ARUNDEL,Unaffiliated,106911,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,BALTIMORE CITY,Unaffiliated,64900,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,BALTIMORE CO.,Unaffiliated,122520,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CALVERT,Unaffiliated,16808,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CAROLINE,Unaffiliated,4978,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CARROLL,Unaffiliated,30954,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CECIL,Unaffiliated,17435,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CHARLES,Unaffiliated,25832,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,DORCHESTER,Unaffiliated,4407,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,FREDERICK,Unaffiliated,55511,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
